Model,MxAccuracy,Accuracy
GraphEnsemble,0.8957646462084707,0.8950038042099924
GraphEnsembleNoWeighted,0.8894242962211514,0.8891706822216586
GraphSage,0.8962718742074562,0.8939893482120213
GraphSageNoWeighted,0.8922140502155719,0.8911995942176009
None,0.8173979203652042,0.8173979203652042
